panel,drug,auc,lo,hi,n_act
PKIS2,GSK1292139,0.5552731380618091,0.48351932819603793,0.6270269479275803,81
PKIS2,GSK1307810,0.5540293617289396,0.49105260571562315,0.617006117742256,118
PKIS2,GSK1321561,0.4365438432835821,0.3632988873791378,0.5097887991880263,67
PKIS2,GSK1321565,0.5549616858237548,0.48511600677320077,0.6248073648743089,87
PKIS2,GSK1322949,0.4580615828420921,0.39659415101791917,0.519529014666265,119
PKIS2,GSK1323434,0.39321374174987306,0.3259079928588312,0.4605194906409149,76
PKIS2,GSK1325775,0.49205444761000317,0.4294895926919786,0.5546193025280277,117
PKIS2,GSK1326180,0.2558441558441558,-0.019223983159686098,0.5309122948479977,2
PKIS2,GSK1379706,0.42654986522911054,0.29039915849449327,0.5627005719637278,16
PKIS2,GSK1379708,0.5181347150259067,-0.05543928590777902,1.0917087159595924,1
PKIS2,GSK1379710,0.3773209549071618,0.21692398820768125,0.5377179216066423,10
PKIS2,GSK1379712,0.541721635883905,0.33487682833723176,0.7485664434305782,8
PKIS2,GSK1379713,0.7363636363636363,0.33774587030583286,1.1349814024214397,2
PKIS2,GSK1379714,0.7211024269847799,0.5617027741347916,0.8805020798347681,13
PKIS2,GSK1379715,0.4745519713261649,0.3279352513002286,0.6211686913521012,15
PKIS2,GSK1379716,0.5104774535809019,0.32781671713234606,0.6931381900294578,10
PKIS2,GSK1379717,0.5473474801061008,0.3615006753603358,0.7331942848518658,10
PKIS2,GSK1379720,0.3398746701846966,0.1715526710102298,0.5081966693591633,8
PKIS2,GSK1379721,0.416289592760181,0.26766019871454705,0.564918986805815,13
PKIS2,GSK1379722,0.42030075187969923,0.21882697600860843,0.62177452775079,7
PKIS2,GSK1379723,0.5942092886537331,0.3963155818388413,0.792102995468625,9
PKIS2,GSK1379724,0.4374453193350831,0.21612794741085276,0.6587626912593135,6
PKIS2,GSK1379725,0.41732283464566927,0.20079888901863005,0.6338467802727085,6
PKIS2,GSK1379727,0.38687335092348285,0.20579211628292207,0.5679545855640437,8
PKIS2,GSK1379729,0.5933691756272401,0.43913379069194536,0.7476045605625349,15
PKIS2,GSK1379730,0.21428571428571427,-0.02681997403618422,0.4553914026076128,2
PKIS2,GSK1379731,0.5691163604549432,0.32863826856711587,0.8095944523427705,6
PKIS2,GSK1379732,0.3985890652557319,0.22490038586793526,0.5722777446435285,9
PKIS2,GSK1379735,0.5702506596306068,0.3614741076803665,0.7790272115808472,8
PKIS2,GSK1379737,0.4799771167048055,0.34843213183733324,0.6115221015722777,19
PKIS2,GSK1379738,0.59,0.4181683937776548,0.7618316062223451,12
PKIS2,GSK1379741,0.5778195488721805,0.35448516990215506,0.8011539278422058,7
PKIS2,GSK1379742,0.4928571428571429,0.2777826094091471,0.7079316763051386,7
PKIS2,GSK1379745,0.5312773403324584,0.29408768805401475,0.7684669926109021,6
PKIS2,GSK1379746,0.564343163538874,0.40570195670013987,0.7229843703776082,14
PKIS2,GSK1379748,0.4939082656473961,0.3725493650293762,0.615267166265416,23
PKIS2,GSK1379751,0.4917542587894165,0.3861712130619197,0.5973373045169132,31
PKIS2,GSK1379753,0.49081412103746397,0.39669404946144654,0.5849341926134815,40
PKIS2,GSK1379754,0.45042471042471044,0.355715933721738,0.545133487127683,37
PKIS2,GSK1379757,0.4778673835125448,0.33088580021546965,0.62484896680962,15
PKIS2,GSK1379760,0.47124183006535947,0.365519345483835,0.5769643146468839,30
PKIS2,GSK1379761,0.5423631123919308,0.44609238278737506,0.6386338419964865,40
PKIS2,GSK1379762,0.47652662993572087,0.35892521092505836,0.5941280489463834,24
PKIS2,GSK1379763,0.4157004830917874,0.32885098299503057,0.5025499831885443,42
PKIS2,GSK1379765,0.39809902740937225,0.3101350899380442,0.48606296488070033,39
PKIS2,GSK1379766,0.4563430919363123,0.35621638820479606,0.5564697956678285,33
PKIS2,GSK1379767,0.4708097928436911,0.36958129878837265,0.5720382868990096,33
PKIS2,GSK1379788,0.45300261096605743,0.17862811661129668,0.7273771053208182,4
PKIS2,GSK1379800,0.51203007518797,0.2943540902426224,0.7297060601333175,7
PKIS2,GSK1379812,0.4641008174386921,0.33723434493737753,0.5909672899400067,20
PKIS2,GSK1379825,0.48125,0.4107168663901849,0.5517831336098151,80
PKIS2,GSK1379859,0.4405759162303665,0.1977382433127129,0.6834135891480202,5
PKIS2,GSK1379860,0.38900523560209427,0.16050480612399087,0.6175056650801977,5
PKIS2,GSK1379874,0.5601503759398496,0.3378282531027619,0.7824724987769374,7
PKIS2,GSK1379878,0.4835958005249344,0.2531246725319472,0.7140669285179215,6
PKIS2,GSK1379879,0.450032981530343,0.25540040906904793,0.644665553991638,8
PKIS2,GSK1379880,0.41151832460732984,0.1763316604295319,0.6467049887851277,5
PKIS2,GSK1379882,0.4111986001749781,0.1962295545000667,0.6261676458498895,6
PKIS2,GSK1379883,0.35411227154047,0.11215844967776648,0.5960660934031735,4
PKIS2,GSK1379896,0.7837662337662338,0.40474268611243824,1.1627897814200292,2
PKIS2,GSK1379899,0.4682330827067669,0.25711305154685227,0.6793531138666815,7
PKIS2,GSK1379901,0.564343163538874,0.40570195670013987,0.7229843703776082,14
PKIS2,GSK1379944,0.5925792507204611,0.4955025249092493,0.689655976531673,40
PKIS2,GSK1383280,0.4806334298425253,0.4148915462021123,0.5463753134829382,98
PKIS2,GSK1383281,0.5390971781864299,0.46816439758354733,0.6100299587893124,83
PKIS2,GSK1389063,0.5964291636725444,0.5384968761879316,0.6543614511571572,158
PKIS2,GSK1398460,0.6205722070844687,0.48626179812576287,0.7548826160431745,20
PKIS2,GSK1398463,0.7482078853046595,0.6029867850830471,0.8934289855262719,15
PKIS2,GSK1398467,0.6662186379928315,0.5132500936154066,0.8191871823702565,15
PKIS2,GSK1398468,0.6458810068649885,0.5087122081802276,0.7830498055497495,19
PKIS2,GSK1398470,0.7312670299727521,0.6031377995862457,0.8593962603592584,20
PKIS2,GSK1398471,0.7104690522243714,0.5361703356760713,0.8847677687726715,11
PKIS2,GSK1398472,0.7608196093450785,0.6125384572035298,0.9091007614866272,14
PKIS2,GSK1398473,0.6470205568566224,0.5163392606856605,0.7777018530275843,21
PKIS2,GSK1398474,0.5575965130759651,0.4300966883894864,0.6850963377624439,22
PKIS2,GSK1398475,0.7928759894459103,0.6051504825741868,0.9806014963176338,8
PKIS2,GSK1398477,0.7144541778975741,0.5697850668999774,0.8591232888951709,16
PKIS2,GSK1440913,0.4497293541072343,0.38392198085770846,0.5155367273567601,93
PKIS2,GSK1487252,0.6237935977066412,0.5456382635995684,0.7019489318137141,65
PKIS2,GSK1520489,0.5784810126582278,0.520955596263699,0.6360064290527566,237
PKIS2,GSK1535721,0.2586805555555556,0.031701172865817945,0.4856599382452932,3
PKIS2,GSK1558669,0.6183998793120788,0.5464075909957893,0.6903921676283684,326
PKIS2,GSK1576028,0.596701531094449,0.5371549362567027,0.6562481259321953,269
